,City,Country,Lat,Lng,Max Temp (F),Cloudiness (%),Humidity (%),Wind Speed (mph),Data Retrieved Time
0,Liwale,TZ,-9.8,37.92,71.84,1,55,4,02:32:49 Jul/31/2019 (Wed)
1,Mataura,NZ,-46.19,168.86,44.01,93,78,11.01,02:29:11 Jul/31/2019 (Wed)
2,Peniche,PT,39.36,-9.38,62.6,0,72,16.11,02:30:14 Jul/31/2019 (Wed)
3,Nouadhibou,MR,20.93,-17.03,68,0,82,17.22,02:32:49 Jul/31/2019 (Wed)
4,Port Alfred,ZA,-33.59,26.89,59,0,73,5.01,02:29:13 Jul/31/2019 (Wed)
5,Horadiz,AZ,39.45,47.33,82.4,75,78,2.24,02:32:50 Jul/31/2019 (Wed)
6,Saint-Philippe,CA,45.36,-73.48,75.2,90,88,8.05,02:29:25 Jul/31/2019 (Wed)
7,Puerto Narino,CO,-3.77,-70.38,75.2,0,100,0.76,02:29:52 Jul/31/2019 (Wed)
8,Bethel,US,60.79,-161.76,60.8,20,59,9.17,02:29:43 Jul/31/2019 (Wed)
9,Oum Hadjer,TD,13.3,19.7,83,90,62,8.59,02:32:50 Jul/31/2019 (Wed)
10,Conakry,GN,9.52,-13.7,75.2,75,100,11.18,02:32:37 Jul/31/2019 (Wed)
11,Oriximina,BR,-1.77,-55.87,80.3,83,65,2.71,02:32:50 Jul/31/2019 (Wed)
12,Nioro,GM,13.79,-15.05,78.5,80,83,8.1,02:30:24 Jul/31/2019 (Wed)
13,Sirjan,IR,29.44,55.67,92.9,0,16,3.18,02:32:50 Jul/31/2019 (Wed)
14,Meadow Lake,CA,54.13,-108.44,56.18,84,97,7.11,02:32:51 Jul/31/2019 (Wed)
15,Ostersund,SE,63.18,14.64,48.2,0,81,3.36,02:28:58 Jul/31/2019 (Wed)
16,Sao Filipe,CV,14.9,-24.5,75.62,90,91,16.11,02:29:30 Jul/31/2019 (Wed)
17,Coihaique,CL,-45.58,-72.07,39.2,0,86,3.36,02:29:55 Jul/31/2019 (Wed)
18,Punta Arenas,CL,-53.16,-70.91,39.2,90,93,16.11,02:29:19 Jul/31/2019 (Wed)
19,Puerto Ayora,EC,-0.74,-90.35,69.01,3,88,4,02:26:30 Jul/31/2019 (Wed)
20,Cape Town,ZA,-33.93,18.42,54,75,100,2.24,02:24:45 Jul/31/2019 (Wed)
21,Tuatapere,NZ,-46.13,167.69,44.01,100,78,10,02:30:14 Jul/31/2019 (Wed)
22,Busselton,AU,-33.64,115.35,71.01,0,42,3.91,02:29:14 Jul/31/2019 (Wed)
23,Salinopolis,BR,-0.61,-47.36,80.84,39,84,14.56,02:30:23 Jul/31/2019 (Wed)
24,Locri,IT,38.24,16.26,78.01,20,83,12.75,02:31:34 Jul/31/2019 (Wed)
25,Quelimane,MZ,-17.88,36.89,64.4,40,93,5.82,02:32:51 Jul/31/2019 (Wed)
26,Vilyuysk,RU,63.75,121.63,70.22,56,37,2.3,02:32:51 Jul/31/2019 (Wed)
27,Carnarvon,ZA,-30.97,22.13,38.72,34,81,4.68,02:29:17 Jul/31/2019 (Wed)
28,Ushuaia,AR,-54.81,-68.31,35.6,20,69,7.29,02:29:13 Jul/31/2019 (Wed)
29,Albany,US,42.65,-73.75,72,90,88,3.33,02:24:50 Jul/31/2019 (Wed)
30,Upernavik,GL,72.79,-56.15,46.28,95,76,5.55,02:29:27 Jul/31/2019 (Wed)
31,Souillac,FR,45.6,-0.6,60.01,0,93,1.12,02:29:28 Jul/31/2019 (Wed)
32,Hoyerswerda,DE,51.43,14.25,73,0,73,3.36,02:32:52 Jul/31/2019 (Wed)
33,Kruisfontein,ZA,-34,24.73,50.78,0,74,7.7,02:30:16 Jul/31/2019 (Wed)
34,Hamilton,CA,43.26,-79.87,71.6,75,82,4.7,02:24:46 Jul/31/2019 (Wed)
35,Seybaplaya,MX,19.65,-90.67,81.74,73,79,15.35,02:32:52 Jul/31/2019 (Wed)
36,Saskylakh,RU,71.97,114.09,54.2,78,57,13.22,02:29:19 Jul/31/2019 (Wed)
37,Barrow,AR,-38.31,-60.23,52.58,65,58,12.03,02:29:15 Jul/31/2019 (Wed)
38,Kieta,PG,-6.22,155.63,83.54,99,75,12.37,02:32:52 Jul/31/2019 (Wed)
39,Methoni,GR,36.82,21.7,82,20,61,15.43,02:32:52 Jul/31/2019 (Wed)
40,Guerrero Negro,MX,27.97,-114.04,66.08,0,89,8.63,02:29:31 Jul/31/2019 (Wed)
41,Butaritari,KI,3.07,172.79,85.34,51,70,7.81,02:29:35 Jul/31/2019 (Wed)
42,Mercedes,UY,-33.25,-58.03,50,49,94,1.99,02:30:25 Jul/31/2019 (Wed)
43,Kalmar,SE,56.66,16.36,59,45,82,5.82,02:32:53 Jul/31/2019 (Wed)
44,Agadez,NE,16.97,7.99,82.4,0,74,9.17,02:32:53 Jul/31/2019 (Wed)
45,Kirakira,SB,-10.46,161.92,78.86,100,87,21.18,02:32:53 Jul/31/2019 (Wed)
46,Waipawa,NZ,-39.94,176.59,41,0,88,8.01,02:32:53 Jul/31/2019 (Wed)
47,Aklavik,CA,68.22,-135.01,57.2,40,54,2.24,02:30:00 Jul/31/2019 (Wed)
48,Fairbanks,US,64.84,-147.72,66.2,75,59,3.36,02:25:32 Jul/31/2019 (Wed)
49,Urubicha,BO,-15.63,-63.08,67.52,0,66,1.61,02:32:53 Jul/31/2019 (Wed)
50,Hilo,US,19.71,-155.08,75.2,75,88,17.98,02:29:14 Jul/31/2019 (Wed)
51,Pevek,RU,69.7,170.27,30.62,100,97,13.15,02:29:44 Jul/31/2019 (Wed)
52,Loikaw,MM,19.67,97.21,72.02,99,81,5.39,02:32:54 Jul/31/2019 (Wed)
53,Adjumani,UG,3.38,31.79,68.42,93,94,2.01,02:32:54 Jul/31/2019 (Wed)
54,San,ML,13.3,-4.9,77.96,86,81,7,02:29:43 Jul/31/2019 (Wed)
55,Hobyo,SO,5.35,48.53,84.44,90,54,19.73,02:30:33 Jul/31/2019 (Wed)
56,Kaitangata,NZ,-46.28,169.85,45,99,69,11.01,02:29:42 Jul/31/2019 (Wed)
57,Novomykolayivka,UA,48.54,32.26,73.64,0,73,12.5,02:32:54 Jul/31/2019 (Wed)
58,Mahebourg,MU,-20.41,57.7,73.99,75,94,11.41,02:29:15 Jul/31/2019 (Wed)
59,Jamestown,AU,-33.21,138.6,54.38,0,52,8.23,02:29:27 Jul/31/2019 (Wed)
60,Arraial do Cabo,BR,-22.97,-42.02,69.86,9,74,5.21,02:29:20 Jul/31/2019 (Wed)
61,Anadyr,RU,64.73,177.51,59,0,51,15.66,02:32:54 Jul/31/2019 (Wed)
62,Hobart,AU,-42.88,147.33,54,20,54,5.82,02:26:44 Jul/31/2019 (Wed)
63,Mae Ramat,TH,16.98,98.52,84.2,75,74,11.41,02:32:55 Jul/31/2019 (Wed)
64,Airai,TL,-8.93,125.41,83.72,0,45,5.66,02:29:20 Jul/31/2019 (Wed)
65,Broome,GB,52.47,1.45,64,75,82,14.99,02:32:55 Jul/31/2019 (Wed)
66,Kutum,SD,14.2,24.66,80.12,74,46,3.53,02:32:55 Jul/31/2019 (Wed)
67,Iralaya,HN,15,-83.23,75.08,100,88,1.41,02:30:18 Jul/31/2019 (Wed)
68,San Cristobal,HN,14.68,-86.92,64.82,24,96,1.74,02:32:55 Jul/31/2019 (Wed)
69,Marawi,PH,8,124.29,84,100,74,5.01,02:29:37 Jul/31/2019 (Wed)
70,Lagoa,PT,37.14,-8.45,71.6,0,40,8.05,02:30:27 Jul/31/2019 (Wed)
71,Pervomayskiy,RU,53.24,40.29,56.9,100,66,12.03,02:32:56 Jul/31/2019 (Wed)
72,Baykalovo,RU,64.58,40.26,48.2,90,100,8.95,02:32:56 Jul/31/2019 (Wed)
73,Bourail,NC,-21.57,165.5,63.38,81,75,6.73,02:32:56 Jul/31/2019 (Wed)
74,Nizhnyaya Omka,RU,55.43,74.94,77.6,29,46,11.65,02:32:56 Jul/31/2019 (Wed)
75,Yellowknife,CA,62.45,-114.38,55.4,20,62,6.93,02:25:18 Jul/31/2019 (Wed)
76,Ponta Delgada,PT,37.73,-25.67,71.6,75,94,12.75,02:32:56 Jul/31/2019 (Wed)
77,Dikson,RU,73.51,80.55,46.1,99,69,11.72,02:29:33 Jul/31/2019 (Wed)
78,Bathsheba,BB,13.22,-59.52,82.4,40,78,19.46,02:32:56 Jul/31/2019 (Wed)
79,Dinguiraye,GN,11.29,-10.71,69.14,100,94,2.93,02:32:57 Jul/31/2019 (Wed)
80,Constitucion,MX,23.99,-104.67,66.99,54,64,1.01,02:29:11 Jul/31/2019 (Wed)
81,Rikitea,PF,-23.12,-134.97,69.14,88,74,20.54,02:28:59 Jul/31/2019 (Wed)
82,Kodiak,US,39.95,-94.76,71.6,1,73,6.93,02:29:22 Jul/31/2019 (Wed)
83,Mar del Plata,AR,-46.43,-67.52,41.42,46,69,17.98,02:29:16 Jul/31/2019 (Wed)
84,Chuy,UY,-33.69,-53.46,49.16,1,90,6.64,02:29:14 Jul/31/2019 (Wed)
85,Itauna,BR,-22.93,-42.48,71.6,75,83,4.7,02:32:57 Jul/31/2019 (Wed)
86,Jablah,SY,35.36,35.93,84.2,20,62,2.24,02:32:57 Jul/31/2019 (Wed)
87,Esperance,AU,-33.86,121.89,64.4,0,42,6.93,02:29:32 Jul/31/2019 (Wed)
88,Codrington,AU,-28.95,153.24,57.2,90,93,6.93,02:30:35 Jul/31/2019 (Wed)
89,Kapaa,US,22.08,-159.32,80.6,75,78,18.34,02:29:11 Jul/31/2019 (Wed)
90,Bluff,AU,-23.58,149.07,73.64,17,42,9.8,02:29:17 Jul/31/2019 (Wed)
91,Gloucester,GB,51.87,-2.25,62.01,90,87,17.22,02:31:13 Jul/31/2019 (Wed)
92,Bandarbeyla,SO,9.49,50.81,86.96,100,41,27.13,02:29:57 Jul/31/2019 (Wed)
93,Atuona,PF,-9.8,-139.03,79.94,12,77,13.94,02:29:41 Jul/31/2019 (Wed)
94,Cockburn Town,TC,21.46,-71.14,83.72,10,75,20.6,02:25:44 Jul/31/2019 (Wed)
95,Khatanga,RU,71.98,102.47,62.12,59,43,13.24,02:29:31 Jul/31/2019 (Wed)
96,Lubao,CD,-5.39,25.75,74,71,22,3.33,02:32:58 Jul/31/2019 (Wed)
97,Komatipoort,MZ,-25.43,31.96,66.2,0,42,1.12,02:32:58 Jul/31/2019 (Wed)
98,Karratha,AU,-20.74,116.85,87.32,0,17,17.52,02:32:58 Jul/31/2019 (Wed)
99,Hohoe,GH,7.15,0.48,72.92,100,90,2.57,02:32:58 Jul/31/2019 (Wed)
100,Geraldton,CA,49.72,-86.95,48.2,5,87,2.24,02:30:39 Jul/31/2019 (Wed)
101,Grindavik,IS,63.84,-22.43,64.4,0,87,10.29,02:32:58 Jul/31/2019 (Wed)
102,Palmer,AU,-34.85,139.16,55,75,58,9.17,02:32:58 Jul/31/2019 (Wed)
103,Plouzane,FR,48.38,-4.62,62.01,75,93,9.17,02:32:59 Jul/31/2019 (Wed)
104,Vaini,IN,15.34,74.49,78.8,75,88,11.41,02:29:33 Jul/31/2019 (Wed)
105,Touros,BR,-5.2,-35.46,78.14,19,79,20.56,02:29:56 Jul/31/2019 (Wed)
106,Port Hardy,CA,50.7,-127.42,55.4,90,93,5.97,02:32:59 Jul/31/2019 (Wed)
107,Georgetown,GY,6.8,-58.16,75.2,0,94,6.93,02:29:12 Jul/31/2019 (Wed)
108,Vostok,RU,46.45,135.83,83,93,58,6.15,02:30:13 Jul/31/2019 (Wed)
109,Namatanai,PG,-3.66,152.44,79.76,100,82,9.01,02:32:59 Jul/31/2019 (Wed)
110,Narsaq,GL,60.91,-46.05,51.8,16,71,3.36,02:29:28 Jul/31/2019 (Wed)
111,Alghero,IT,40.56,8.32,70,0,94,1.12,02:32:59 Jul/31/2019 (Wed)
112,Corinto,CO,3.17,-76.26,71.6,40,83,6.93,02:33:00 Jul/31/2019 (Wed)
113,Kargat,RU,55.19,80.28,67.88,33,59,11.05,02:33:00 Jul/31/2019 (Wed)
114,Meulaboh,ID,4.14,96.13,82.28,63,75,8.75,02:29:53 Jul/31/2019 (Wed)
115,Oranjestad,AW,12.52,-70.03,82.4,20,83,17.22,02:33:00 Jul/31/2019 (Wed)
116,Nueva Italia de Ruiz,MX,19.02,-102.1,71.48,73,86,1.07,02:33:00 Jul/31/2019 (Wed)
117,Bandipur,IN,11.67,76.63,75.8,100,60,6.76,02:33:00 Jul/31/2019 (Wed)
118,Tuktoyaktuk,CA,69.44,-133.03,48.2,20,70,5.82,02:29:15 Jul/31/2019 (Wed)
119,Belchatow,PL,51.37,19.36,66.99,0,82,5.82,02:33:00 Jul/31/2019 (Wed)
120,Mecca,SA,21.43,39.83,96.68,40,24,12.24,02:25:30 Jul/31/2019 (Wed)
121,Portland,US,43.66,-70.25,72,1,94,3.36,02:32:54 Jul/31/2019 (Wed)
122,Yeppoon,AU,-23.13,150.74,73.4,1,46,11.41,02:33:01 Jul/31/2019 (Wed)
123,Qaanaaq,GL,77.48,-69.36,44.66,100,60,4.52,02:29:15 Jul/31/2019 (Wed)
124,Bredasdorp,ZA,-34.53,20.04,51.8,56,87,4.7,02:29:16 Jul/31/2019 (Wed)
125,Castro,CL,-42.48,-73.76,44.6,0,81,9.17,02:29:24 Jul/31/2019 (Wed)
126,Nkhotakota,MW,-12.93,34.3,67.52,7,50,4.32,02:33:01 Jul/31/2019 (Wed)
127,Verkhoyansk,RU,67.55,133.39,55.1,100,49,11.74,02:33:01 Jul/31/2019 (Wed)
128,Sao Geraldo do Araguaia,BR,-6.4,-48.55,71.48,93,46,3.31,02:33:02 Jul/31/2019 (Wed)
129,Warrnambool,AU,-38.38,142.48,51.01,99,81,3,02:31:01 Jul/31/2019 (Wed)
130,Hermanus,ZA,-34.42,19.24,52,69,95,1.01,02:29:15 Jul/31/2019 (Wed)
131,Petropavlovsk-Kamchatskiy,RU,53.05,158.65,60.8,75,87,6.71,02:33:02 Jul/31/2019 (Wed)
132,Denpasar,ID,-8.65,115.22,82.4,20,69,14.99,02:33:02 Jul/31/2019 (Wed)
133,El Monte,US,34.08,-118.04,72,1,77,3.36,02:33:03 Jul/31/2019 (Wed)
134,Tasiilaq,GL,65.61,-37.64,44.6,100,93,4.7,02:29:19 Jul/31/2019 (Wed)
135,Trelew,AR,-43.25,-65.31,47.18,64,64,19.64,02:33:03 Jul/31/2019 (Wed)
136,Batagay-Alyta,RU,67.8,130.41,43.58,96,64,8.28,02:33:03 Jul/31/2019 (Wed)
137,Tautira,PF,-17.73,-149.15,78.8,40,69,4.7,02:30:33 Jul/31/2019 (Wed)
138,Labuhan,ID,-2.54,115.51,93.44,1,41,2.1,02:29:28 Jul/31/2019 (Wed)
139,Victoria,BN,5.28,115.24,93.2,75,59,5.82,02:25:06 Jul/31/2019 (Wed)
140,Maraa,BR,-1.83,-65.37,74.72,90,88,2.19,02:33:03 Jul/31/2019 (Wed)
141,Chapais,CA,49.78,-74.86,53.6,1,81,6.93,02:30:23 Jul/31/2019 (Wed)
142,Dunedin,NZ,-45.87,170.5,43,99,81,25.01,02:28:30 Jul/31/2019 (Wed)
143,Port Elizabeth,US,39.31,-74.98,77,1,73,7.31,02:29:19 Jul/31/2019 (Wed)
144,Mitsamiouli,KM,-11.38,43.28,80.6,40,74,2.24,02:33:04 Jul/31/2019 (Wed)
145,Nuuk,GL,64.17,-51.74,41,18,100,6.93,02:29:40 Jul/31/2019 (Wed)
146,Beyneu,KZ,45.32,55.19,94.88,69,20,12.01,02:33:04 Jul/31/2019 (Wed)
147,Ixtapa,MX,20.71,-105.21,81,75,83,2.24,02:33:04 Jul/31/2019 (Wed)
148,Erzin,TR,36.95,36.2,84.2,20,70,12.75,02:29:55 Jul/31/2019 (Wed)
149,Yarada,IN,17.65,83.27,91.4,75,59,11.41,02:33:04 Jul/31/2019 (Wed)
150,Rio Grande,BR,-32.03,-52.1,43,0,99,4.12,02:33:05 Jul/31/2019 (Wed)
151,Livingston,US,40.8,-74.31,82.4,1,69,3,02:33:05 Jul/31/2019 (Wed)
152,Omboue,GA,-1.57,9.26,73.64,53,86,13.53,02:33:05 Jul/31/2019 (Wed)
153,Amapa,HN,15.09,-87.97,77,20,88,1.43,02:33:05 Jul/31/2019 (Wed)
154,Inhambane,MZ,-23.87,35.38,69.8,0,83,6.93,02:30:01 Jul/31/2019 (Wed)
155,East London,ZA,-33.02,27.91,55.4,0,76,11.41,02:24:53 Jul/31/2019 (Wed)
156,Oron,NG,4.81,8.23,73.1,100,96,1.52,02:33:06 Jul/31/2019 (Wed)
157,Madras,US,44.63,-121.13,66.99,1,39,10.11,02:33:06 Jul/31/2019 (Wed)
158,Lebu,ET,8.96,38.73,57.2,75,87,4.7,02:29:15 Jul/31/2019 (Wed)
159,Severo-Kurilsk,RU,50.68,156.12,47.9,100,95,2.53,02:29:49 Jul/31/2019 (Wed)
160,Ponta do Sol,BR,-20.63,-46,60.14,45,67,0.43,02:29:23 Jul/31/2019 (Wed)
161,Flinders,AU,-34.58,150.85,61,20,54,9.17,02:30:14 Jul/31/2019 (Wed)
162,Thompson,CA,55.74,-97.86,62.6,75,72,3.36,02:27:13 Jul/31/2019 (Wed)
163,Mbandaka,CD,0.05,18.26,75.62,60,69,4.47,02:33:06 Jul/31/2019 (Wed)
164,Bembereke,BJ,10.23,2.66,71.12,95,96,7,02:33:06 Jul/31/2019 (Wed)
165,Alta Floresta,BR,-9.87,-56.08,69.14,2,52,2.62,02:30:23 Jul/31/2019 (Wed)
166,Zeya,RU,53.74,127.27,66.62,100,83,7.78,02:30:37 Jul/31/2019 (Wed)
167,Baihar,IN,22.11,80.55,70.94,100,98,8.32,02:33:06 Jul/31/2019 (Wed)
168,Saint-Francois,FR,46.42,3.91,60.8,0,72,2.24,02:33:07 Jul/31/2019 (Wed)
169,Kondinskoye,RU,59.65,67.41,60.86,48,57,10.8,02:33:07 Jul/31/2019 (Wed)
170,Wichita Falls,US,33.91,-98.49,81,1,69,3.36,02:30:01 Jul/31/2019 (Wed)
171,Comodoro Rivadavia,AR,-45.87,-67.48,48.2,0,57,24.16,02:29:39 Jul/31/2019 (Wed)
172,Acajutla,SV,13.59,-89.83,82.28,3,76,5.59,02:33:07 Jul/31/2019 (Wed)
173,Waingapu,ID,-9.65,120.26,82.1,3,49,16.58,02:33:07 Jul/31/2019 (Wed)
174,Nampa,US,43.57,-116.56,79,1,56,4.29,02:32:10 Jul/31/2019 (Wed)
175,Ribeira Grande,PT,38.52,-28.7,73.4,75,88,12.75,02:29:26 Jul/31/2019 (Wed)
176,Hay River,CA,60.82,-115.79,51.8,20,93,2.24,02:33:08 Jul/31/2019 (Wed)
177,Smolenka,PL,54.15,22.76,54.92,38,76,5.68,02:33:08 Jul/31/2019 (Wed)
178,Alofi,NU,-19.06,-169.92,77,0,94,2.24,02:33:08 Jul/31/2019 (Wed)
179,Southbridge,US,42.08,-72.03,75.99,1,88,9.17,02:33:08 Jul/31/2019 (Wed)
180,Laguna,BZ,16.17,-88.94,75.2,0,100,1.12,02:29:48 Jul/31/2019 (Wed)
181,Adrar,DZ,27.87,-0.29,98.6,90,22,25.28,02:30:12 Jul/31/2019 (Wed)
182,Willowmore,ZA,-33.3,23.49,41.96,0,86,2.77,02:33:08 Jul/31/2019 (Wed)
183,Tatarani,RO,45,25.27,76.52,0,58,3.29,02:33:08 Jul/31/2019 (Wed)
184,Vanavara,RU,60.35,102.28,83.72,94,27,5.79,02:33:09 Jul/31/2019 (Wed)
185,Torbay,CA,47.66,-52.73,55,90,87,5.82,02:29:22 Jul/31/2019 (Wed)
186,New Norfolk,AU,-42.78,147.06,54,20,54,5.82,02:29:13 Jul/31/2019 (Wed)
